0.26761599999999997,0.01
0.270807,0.02
0.272845,0.03
0.27441,0.04
0.275711,0.05
0.276833,0.06
0.277836,0.07
0.278745,0.08
0.279588,0.09
0.280376,0.1
0.281115,0.11
0.281815,0.12
0.282484,0.13
0.28313699999999997,0.14
0.283765,0.15
0.28437,0.16
0.284963,0.17
0.285546,0.18
0.286116,0.19
0.286676,0.2
0.287225,0.21
0.28777,0.22
0.28831100000000004,0.23
0.288843,0.24
0.289374,0.25
0.28990299999999997,0.26
0.290429,0.27
0.290952,0.28
0.29147500000000004,0.29
0.292005,0.3
0.292531,0.31
0.29305899999999996,0.32
0.29358900000000004,0.33
0.294124,0.34
0.294662,0.35
0.29519799999999996,0.36
0.295739,0.37
0.296286,0.38
0.296841,0.39
0.29740300000000003,0.4
0.297969,0.41
0.298537,0.42
0.299114,0.43
0.29970399999999997,0.44
0.300302,0.45
0.300913,0.46
0.30152599999999996,0.47
0.302147,0.48
0.302787,0.49
0.303439,0.5
0.304098,0.51
0.30477,0.52
0.305454,0.53
0.306147,0.54
0.306858,0.55
0.307584,0.56
0.30831800000000004,0.57
0.30907599999999996,0.58
0.309848,0.59
0.31064200000000003,0.6
0.31146,0.61
0.312297,0.62
0.31316,0.63
0.314052,0.64
0.31497600000000003,0.65
0.315936,0.66
0.31693200000000005,0.67
0.317975,0.68
0.319061,0.69
0.320202,0.7
0.32141400000000003,0.71
0.322699,0.72
0.324067,0.73
0.32555,0.74
0.327146,0.75
0.328864,0.76
0.330747,0.77
0.33282500000000004,0.78
0.33512400000000003,0.79
0.33768699999999996,0.8
0.34059,0.81
0.343933,0.82
0.347775,0.83
0.352262,0.84
0.35750099999999996,0.85
0.363583,0.86
0.370633,0.87
0.379212,0.88
0.390598,0.89
0.40980500000000003,0.9,0.9
0.412805,0.9009999999999999
0.416165,0.902
0.41999600000000004,0.903
0.424503,0.904
0.42986,0.905
0.43659200000000004,0.9059999999999999
0.44531699999999996,0.907
0.45791499999999996,0.9079999999999999
0.47642399999999996,0.909
0.492527,0.91
